Annee,Score,Metascore,Genre,Revenu,Votes
1998,8.1,71,5,17.5,636671
1999,6.5,51,1,474.54,631142
2001,8.3,69,5,33.23,630513
2010,8,79,7,106.95,627692
2013,7.1,55,1,291.05,626172
2002,8.6,79,6,7.56,621575
2011,6.9,66,1,176.65,620932
2014,7.8,70,1,259.77,620901
2002,7.3,73,1,403.71,619601
2010,7,57,1,312.43,618858
2005,7.6,68,1,380.26,616951
2007,7.2,65,7,256.39,614342
1976,8.3,94,6,28.26,611197
2015,7.4,66,1,459.01,610673
2002,8.5,85,4,32.57,610645
1989,8.3,65,1,197.17,609450
2014,8.1,88,2,59.1,606255
2012,7.7,81,5,132.09,604275
1982,8.2,89,15,27,603815
2014,8,75,1,233.92,598473
1966,8.9,90,17,6.1,596164
2006,7.3,53,1,423.32,596150
2014,8,73,4,91.13,591544
2004,8,83,1,66.21,590542
2009,7.9,81,15,115.65,590110
2011,7.7,65,1,146.41,589880
1987,8.3,76,7,46.36,584943
2010,8.1,74,3,217.58,582998
2015,8,76,1,183.64,581502
1986,8.4,84,1,85.16,580304
2012,7.8,81,1,304.36,578739
2014,8.5,88,7,13.09,576916
2010,8,88,4,138.8,575226
2004,8,90,3,261.44,571155
1996,8.2,83,7,16.5,570676
2007,8,85,1,227.47,569967
2004,8.1,86,7,100.49,568459
1957,8.9,96,6,4.36,563791
2013,7.5,76,1,424.67,560434
2007,7.1,61,1,319.07,558143
2013,8.1,96,4,56.67,553594
2002,6.6,54,1,310.68,553222
2006,8.2,98,7,37.63,553035
2010,7.7,95,4,96.96,552602
2007,8,96,3,206.45,552488
2013,7.8,66,2,258.37,550643
2016,6.5,44,1,330.36,550363
2009,8,82,1,257.73,548626
1996,8.1,85,6,24.61,541549
2001,7.6,64,2,317.58,541278
2007,7.1,50,1,309.42,540769
2001,7.9,84,3,267.67,538286
2013,7,63,1,202.36,536072
2013,7.3,50,6,117.72,535029
2009,7.6,57,1,209.03,534963
2016,7.8,75,1,408.08,529435
2001,8.6,96,3,10.06,529063
1995,8,74,13,57.14,529038
2008,7.8,50,1,145,528015
1979,8.5,94,7,83.47,527542
2012,7,64,2,126.48,526640
2006,8,80,1,167.45,525565
1997,8.6,59,5,57.6,525528
2014,7.9,71,1,100.21,525439
2012,6.9,62,5,218.82,525166
1993,8,72,5,70.91,523083
2008,7.8,70,7,127.51,523001
2014,7.7,60,1,128.26,522404
2012,7.7,86,4,136.03,520268
1968,8.3,82,2,56.95,519401
2000,7.4,64,1,157.3,518794
2015,7,59,1,652.27,517994
2017,8.1,77,1,226.28,516939
2018,8.6,68,1,678.82,515214
2012,7.9,79,2,124.99,515029
1960,8.5,97,11,32,513004
2012,7,66,1,262.03,509946
2007,8.1,73,2,18.35,508614
1995,8.2,76,6,67.44,506545
2013,7,54,1,206.36,506030
2011,7.8,78,6,35.06,504604
2015,8.2,94,3,356.46,504101
2013,8.1,74,6,61,502051
2016,6.1,40,1,325.1,499494
2013,7.5,74,3,400.74,496031
2014,7.7,88,5,42.34,495330
1975,8,87,2,260,493026
2012,7.4,84,1,66.49,486278
2010,7.6,66,1,48.07,485411
1996,7,59,1,306.17,482456
2004,7.3,83,1,373.59,481570
1998,8.2,66,5,3.9,478907
1997,8.3,90,6,64.62,478688
2011,7.4,59,13,79.25,477138
2016,7.9,81,7,100.55,476502
2007,7.6,76,5,121.46,470567
2002,7.4,63,2,261.99,467717
2003,7.2,62,1,281.49,466144
2003,7.5,68,1,214.95,465541
2012,7.2,69,1,138.45,464483
2005,7.7,81,2,290.01,463911
2004,7.9,82,2,249.36,463525
2002,7.9,68,1,121.66,463379
2011,7.6,68,1,176.76,462325
2001,7.8,74,6,183.42,461381
1997,7.3,71,2,250.69,459934
1942,8.5,NA,7,1.02,458443
2004,7.9,53,7,81,456973
2000,7.8,73,2,233.63,456944
2016,7.5,72,1,232.64,456589
2007,7.5,81,5,143.5,456317
2015,7.3,64,1,180.2,455874
2002,7.7,80,1,132.07,455854
2004,7.9,76,5,13.54,454096
1976,8.1,70,7,117.24,454014
2006,8,64,2,57.37,451057
1999,7.9,88,3,245.85,448889
2004,7.1,59,1,144.8,448795
2010,7.7,72,3,251.51,447381
2016,7.8,65,1,532.18,447193
2007,8.1,93,7,40.22,447035
1975,8.3,93,2,1.23,444846
2007,6.2,59,1,336.53,444253
2013,8,90,7,25.57,443968
2017,7.5,76,1,412.56,443735
2009,7.7,73,2,75.59,442996
2009,7.6,56,1,107.51,440466
2013,7,54,1,89.02,440385
2011,7.5,74,13,54.71,438969
2003,8.4,74,1,0.71,438781
2013,7.7,72,1,228.78,438358
2006,6.7,58,1,234.36,437480
2004,7.2,56,7,133.38,437298
2013,6.9,65,1,101.8,433774
2011,6.6,45,1,241.07,433283
1988,8,65,7,172.83,429976
2007,7.5,71,2,292,429727
2009,7.7,76,5,32.39,429267
2017,7.9,94,1,188.37,426292
2011,7.4,68,5,84.35,425849
2017,7.2,85,1,620.18,423548
2014,7.4,59,2,255.12,423364
2009,6.6,40,1,179.88,421476
2011,6.5,44,5,254.46,420716
2017,7.7,67,1,389.81,419351
2013,7.3,55,7,144.84,418727
2000,7.6,64,6,15.07,415929
2011,7.4,73,1,209.4,414434
2006,7.9,84,7,35.55,413512
2007,7.9,81,1,23.64,411037
2012,8,67,7,17.74,410826
2018,7.4,88,1,700.06,408556
2004,7.7,30,15,57.94,408368
2015,7.8,68,6,54.12,407794
2013,7.3,90,6,150.12,406514
1989,7.8,57,2,118.5,406374
2003,6.7,47,1,139.31,404460
1990,7.9,74,7,56.36,403576
2014,7.3,68,1,43.04,403369
2005,6.5,55,1,186.34,402146
2010,7.7,65,2,295.98,401913
1964,8.4,96,5,0.28,401641
2014,7.7,78,7,25.44,401039
2016,8.1,93,5,151.1,400334
2006,7.8,80,5,59.89,399023
1995,8.2,73,6,42.44,398976
2017,7.9,74,1,315.06,398937
2008,6.4,49,1,227.95,397877
2004,7.8,73,1,176.24,397405
2009,7.6,78,2,301.96,394848
2004,7.8,69,6,54.58,393642
2006,8,64,4,163.57,392405
2011,8.2,71,7,13.66,392008
1997,7.7,52,1,63.54,390221
2011,6.9,57,5,117.54,390175
2014,6.7,48,1,150.95,389070
2013,8,84,4,27.3,388547
2014,6.4,61,1,126.66,388048
1984,7.6,57,1,179.87,387894
2014,7.3,72,1,350.13,386975
2013,6.7,61,1,132.56,386792
2013,6.6,61,1,93.05,384864
2014,7.9,76,6,32.38,383875
2011,7.5,48,1,186.85,383191
2002,7.5,60,3,176.39,382956
2003,8,58,2,66.26,382426
2008,5.2,56,7,191.47,382226
1954,8.5,NA,13,36.76,382118
1990,7.5,63,5,285.76,381633
2008,7.6,94,7,17.02,380922
2008,6.8,61,1,134.52,380629
2014,7.6,79,1,208.55,379610
2011,8.1,62,7,169.71,379567
2013,8.1,75,1,26.95,379551
2008,6.2,65,1,317.1,378937
2003,8,84,6,90.14,378600
2005,6.5,73,2,234.28,376642
1991,8,95,3,218.97,376089
2013,7.8,83,4,107.1,375852
2011,7.8,71,6,102.52,375842
2013,7.5,68,11,137.4,375621
2014,6.6,53,1,202.85,374771
2014,6.8,57,1,102.43,374276
2005,6.7,72,2,206.46,374228
2004,6.4,47,1,186.74,374043
2007,7.7,78,6,33.08,373282
2008,6.6,58,1,168.37,368288
2014,7.6,64,1,85.82,367058
2003,7.6,55,5,59.7,366783
2017,7.5,73,1,334.2,366656
2014,6.7,64,1,337.14,364896
2004,7.2,75,3,436.47,364445
2007,7.1,69,1,134.53,364151
2003,7.8,89,7,44.59,364097
2008,7.6,73,3,215.43,363871
2006,6.6,46,13,217.54,361595
2013,7,44,5,150.39,360972
2002,7.5,72,6,77.81,360648
1998,6.6,42,1,201.57,360318
2003,7.7,55,1,111.11,359662
2016,8,78,3,341.27,358823
2011,6.3,42,1,352.39,358091
2007,7.8,76,4,130.16,357484
1999,7,48,1,155.25,356961
2005,7.2,81,1,218.08,356854
2009,6,35,1,402.11,356457
2004,7.3,55,5,77.87,352958
2008,7.9,67,5,7.76,351719
2005,7.1,73,5,109.45,351699
1941,8.4,NA,7,1.59,351332
2013,6.6,67,5,101.47,351249
2010,7.8,71,3,200.82,349583
2014,7.8,74,3,222.53,349288
1989,8.1,79,5,95.86,348560
2010,6.5,53,2,334.19,347838
1996,7.1,59,1,180.98,347444
2011,7.7,81,5,56.82,346366
2001,7.7,69,6,76.63,346230
1987,8.1,77,2,30.86,345662
1999,7,58,5,102.56,344763
2008,7,71,1,110.52,343513
2004,7.6,46,11,56,343009
2008,7,64,1,80.05,342450
1990,7.4,55,2,87.73,342129
2014,7.7,72,4,35.89,341865
2015,8.1,93,6,45.06,341183
1986,8.1,92,7,138.53,341065
2003,6.3,66,1,150.37,340956
2017,7.7,84,11,176.04,340824
2015,6.8,60,1,200.07,340807
1939,8,NA,2,22.2,340733
2017,8,81,7,92.05,340588
2016,8.1,71,4,67.21,339420
2013,7.1,61,1,238.68,338606
2011,6.7,53,1,37.52,338465
1946,8.6,89,7,7.27,337782
2014,6.4,62,1,200.68,337636
2002,7.6,73,7,45.06,337118
2003,6.7,46,5,242.83,336276
1987,7.8,45,1,59.74,335110
2016,7,52,1,155.44,333399
2008,6.7,64,1,134.51,332605
2013,7.4,62,3,368.06,332082
1995,7.6,58,1,100.01,332067
2006,7.6,68,7,39.87,330928
2017,7.6,86,1,107.83,330580
1997,6.5,59,1,229.09,330433
2001,7.7,74,7,108.64,329793
1992,8.2,85,7,101.16,328650
2005,6.9,75,2,291.71,328110
2004,7.5,71,6,101.01,327435
2006,6.9,62,5,124.74,327174
2012,7,72,5,42.07,326341
2015,7.2,67,1,353.01,326159
2010,7.5,69,1,31.49,325766
2006,7.3,89,5,128.51,325563
1982,7.9,91,8,435.11,325439
2007,7,85,5,148.73,324908
1984,8.3,93,4,51.97,324211
2012,7.1,69,3,237.28,323424
1986,8.1,75,2,52.29,323379
2004,6.5,58,6,125.54,322800
1979,8.1,75,5,20.05,321786
1973,8,82,11,232.91,321334
2004,7.7,61,7,1.08,321223
2011,7.3,66,1,209.84,321141
1994,7.3,41,5,127.18,320947
2016,7.4,66,2,234.04,320931
2010,7.1,72,5,58.4,319622
2012,7.7,72,3,189.42,319614
2012,7.5,55,1,27.11,319356
2009,5.8,49,1,166.11,318941
1982,8.1,57,11,13.78,317593
1990,7.6,60,6,66.67,317490
2011,7.6,87,4,75.61,317419
1997,7.3,82,1,112.23,317159
2017,7.4,69,11,327.48,315870
2005,6.9,57,3,193.6,315310
2003,7,68,1,106.13,314968
2010,7.6,82,2,18.34,314796
2007,7.4,83,7,52.9,314774
2011,7,72,13,127,314561
2010,7.6,74,6,92.19,314234
2009,6.6,49,1,125.32,313432
1984,7.8,71,1,238.63,313186
2006,7.1,73,3,244.08,312594
2001,6.8,58,1,144.53,310889
2006,8.4,89,7,11.29,310304
2015,7.6,82,1,46.89,309927
2014,7.9,NA,7,25.38,308492
2014,7,71,1,191.72,308485
2011,6.6,63,5,55.8,308230
2010,7.8,79,4,93.62,308187
2000,7.3,62,7,95.01,307482
1992,8,86,3,217.35,307112
2005,7,64,5,209.22,307078
1985,7.9,62,5,45.88,306619
1958,8.3,NA,13,3.2,306510
2001,7.6,74,11,96.52,305795
2006,7.6,76,6,88.51,305586
2004,8.1,79,4,23.53,305476
2002,6.7,59,7,227.97,305406
1997,7.8,61,7,48.32,304379
1989,7.6,69,1,251.19,303963
1994,6.9,56,5,119.94,303852
1990,7.1,67,1,117.54,303538
2009,7.9,67,7,5.01,302851
2008,6.8,46,5,97.69,302765
2014,7.7,69,7,124.87,302534
2002,6.1,49,1,190.42,300722
2010,6.5,45,1,103.07,300642
2004,7.2,63,5,85.29,300194
2004,7.5,77,4,102.61,299257
2004,7.7,47,1,77.91,298997
1999,7.4,65,9,101.07,298615
2012,6.8,58,1,179.02,298051
2010,6.6,51,2,100.54,297521
2004,6.8,48,5,120.91,296289
2006,6.9,66,1,134.03,296059
2015,7.4,75,1,195.04,296029
2011,7.7,72,5,35.01,295343
2009,7.4,83,7,83.82,295116
2012,7.3,76,7,93.77,294478
2004,8.2,82,4,5.51,294286
2014,7,56,1,241.41,293827
1997,7.5,60,7,60.98,293573
1994,7.2,78,1,121.25,293508
2018,7.8,66,1,318.49,293332
2016,7.3,62,11,138.29,292052
2017,6.5,45,1,229.02,291354
2005,7.7,87,7,83.04,291338
2015,8.2,86,7,14.68,291082
2005,5.7,40,1,154.7,290872
2014,7.8,83,3,257.76,290865
2015,7.8,81,4,70.26,290328
2002,7.1,57,11,129.13,290305
2004,7,66,5,86.06,290028
2007,6.9,62,6,117.15,289806
2010,6.8,49,1,172.06,289698
2017,8.2,88,5,54.51,289654
2002,7.5,33,1,1.2,289560
2016,7,41,7,100.01,287733
2000,7,73,5,166.24,287008
2001,6.1,44,1,198.54,286347
1996,7.4,58,1,134.07,286115
2008,7,64,1,87.34,285318
2007,7.2,53,1,47,284878
2007,7.3,80,3,183.14,284737
2009,8.4,67,5,6.53,284324
2006,7.8,53,6,22.49,284276
2005,6.9,50,1,35.82,283845
2014,7.2,57,1,101.53,283539
1999,7.8,90,5,22.86,282299
2012,7.8,84,2,45.51,281976
2001,8,83,7,7.22,281504
2000,6.1,59,1,215.41,280861
1997,8.4,76,3,2.38,280623
1986,7.8,61,5,70.14,280251
2013,7.3,65,3,268.49,279625
2004,6.9,39,1,173.01,279543
2014,6.6,52,5,6.11,279106
2011,7.1,56,1,85.47,278828
2008,7,63,5,60.36,278689
1980,8.2,89,4,23.38,277629
2011,7.5,83,2,73.86,277471
2012,7.6,63,7,148.81,277301
2001,6.3,48,1,202.02,276681
2004,6.9,72,1,59.62,276479
2006,6.4,45,5,137.36,276076
2014,5.7,32,1,245.44,275978
1978,8.1,81,7,48.98,275432
