Annee,Score,Metascore,Genre,Revenu,Votes
2005,7,64,5,209.22,307078
2009,7.6,57,1,209.03,534963
2014,7.6,79,1,208.55,379610
2005,8.3,70,1,206.85,1150820
2005,6.7,72,2,206.46,374228
2007,8,96,3,206.45,552488
2013,7,54,1,206.36,506030
1999,6.6,59,1,206.04,198903
1991,8.5,75,1,204.84,872431
2014,6.6,53,1,202.85,374771
2013,7,63,1,202.36,536072
2001,6.3,48,1,202.02,276681
1998,6.6,42,1,201.57,360318
2015,6.9,67,7,201.15,134945
2010,7.8,71,3,200.82,349583
2014,6.4,62,1,200.68,337636
2006,6.1,72,1,200.08,256717
2015,6.8,60,1,200.07,340807
1939,8.2,97,7,198.68,255457
2001,6.1,44,1,198.54,286347
2009,6.5,56,3,198.35,131350
2006,6.5,77,3,198,152409
1989,8.3,65,1,197.17,609450
2009,7,50,3,196.57,194684
2006,6.8,58,3,195.33,225551
2015,7.4,75,1,195.04,296029
2005,6.9,57,3,193.6,315310
1995,8.3,95,3,191.8,756726
2014,7,71,1,191.72,308485
2008,5.2,56,7,191.47,382226
2011,6.2,57,3,191.45,129566
2014,5.8,31,1,191.2,188884
2018,7,35,1,190.81,113584
2002,6.1,49,1,190.42,300722
2012,7.7,72,3,189.42,319614
1978,7.2,70,12,188.76,200165
2017,7.9,94,1,188.37,426292
2018,7.6,82,7,188.02,225721
2014,8.6,74,2,188.02,1223159
2000,8.5,67,1,187.71,1162557
2013,7.2,55,3,187.17,172048
2011,7.5,48,1,186.85,383191
2004,6.4,47,1,186.74,374043
2005,6.5,55,1,186.34,402146
1937,7.6,95,3,184.93,157624
2015,6.4,63,5,184.3,125036
1990,8,72,2,184.21,213585
1995,5.4,51,1,184.03,214231
1993,7.8,87,1,183.88,238621
2015,8,76,1,183.64,581502
2001,7.8,74,6,183.42,461381
2004,6.6,61,3,183.37,145983
2007,7.3,80,3,183.14,284737
2000,6.4,47,5,182.81,176101
2000,6.4,59,1,182.62,144136
2012,7.4,86,4,182.21,223094
1997,6.9,70,5,181.41,251286
2001,5.9,42,1,181.17,261245
2011,7,57,1,181.03,641916
1996,7.1,59,1,180.98,347444
2015,7.3,64,1,180.2,455874
2008,6.7,61,3,180.01,174100
2001,5.7,50,1,180.01,197903
2009,6.6,40,1,179.88,421476
1984,7.6,57,1,179.87,387894
1986,6.9,50,1,179.8,253342
2005,6.6,58,5,179.5,271188
2012,6.8,58,1,179.02,298051
1990,7,51,5,178.41,249264
2015,6.6,55,3,177.4,83487
2009,5.9,42,2,177.24,153668
1982,7.4,87,5,177.2,86932
2014,7.8,76,3,177,260221
2011,7.6,68,1,176.76,462325
2011,6.9,66,1,176.65,620932
2010,6.2,61,1,176.59,141411
1998,7.1,69,5,176.48,269048
2002,7.5,60,3,176.39,382956
2004,7.8,73,1,176.24,397405
2017,7.7,84,11,176.04,340824
2017,7.3,75,3,175.75,105762
2017,6.3,50,3,175,85553
1986,6.5,62,2,174.64,83440
2017,7.7,48,4,174.34,161787
1995,7.6,77,2,173.84,238000
2003,6.9,64,5,173.4,175762
2004,6.9,39,1,173.01,279543
1997,6.5,61,1,172.96,163006
1988,8,65,7,172.83,429976
2017,6.6,39,1,172.56,210389
2010,6.8,49,1,172.06,289698
1999,8.7,73,1,171.48,1443130
2010,7.6,80,2,171.24,273852
1999,7.3,79,3,171.09,173564
2001,8.2,72,4,170.74,740906
2002,7.2,82,5,170.69,195704
2011,8.1,62,7,169.71,379567
2015,6.7,44,3,169.7,86281
2016,7.8,74,4,169.61,158423
2011,6.8,75,5,169.11,243663
2008,6.6,58,1,168.37,368288
2007,5.9,27,2,168.27,107508
2017,6.7,62,1,168.05,218615
2014,8.1,79,6,167.77,725771
2006,8,80,1,167.45,525565
2000,7,73,5,166.24,287008
2015,4.1,46,7,166.17,269653
2009,5.8,49,1,166.11,318941
1991,6.9,51,1,165.5,161630
2011,7.2,67,3,165.25,217836
2001,6.8,57,6,165.09,231164
2002,8.1,75,4,164.62,680924
2009,6.7,48,5,163.96,262662
2006,8,64,4,163.57,392405
1999,6.4,41,5,163.48,180247
1965,8,63,4,163.21,173724
2010,5.8,39,1,163.21,250649
1992,7,68,1,162.83,245143
2012,8.4,81,7,162.81,1159647
1998,7.2,77,3,162.8,240414
2016,6.6,58,1,162.43,182226
2010,6,30,5,162,204427
1998,6.1,41,5,161.49,133880
2012,6.6,49,3,161.32,168188
2015,7.9,72,4,161.2,159821
2002,6.1,56,1,160.94,186952
2004,6,48,3,160.86,149855
1973,8.3,80,5,159.6,211112
2013,6.6,60,1,159.58,149724
